"deaths","timestamp","totalPositive","testsInProgress","conductedTests","negativeCases","saludTimeSignature","molecularPositive","serologicalPositive","antigenPositive"
"0","3/12/2020, 7:00:00 AM","0","","","","","","",""
"0","3/13/2020, 7:00:00 AM","3","","","","","","",""
"0","3/14/2020, 7:00:00 AM","4","","","","","","",""
"0","3/15/2020, 7:00:00 AM","5","","","","","","",""
"0","3/16/2020, 7:00:00 AM","dataNotPublished","","","","","","",""
"0","3/17/2020, 7:00:00 AM","5","","","","","","",""
"0","3/18/2020, 7:00:00 AM","6","","","","","","",""
"0","3/19/2020, 7:00:00 AM","6","","","","","","",""
"0","3/20/2020, 7:00:00 AM","14","","","","","","",""
"1","3/21/2020, 7:00:00 AM","21","","","","","","",""
"1","3/22/2020, 7:00:00 AM","23","","","","","","",""
"2","3/23/2020, 7:00:00 AM","31","","","","","","",""
"2","3/24/2020, 7:00:00 AM","39","","","","","","",""
"2","3/25/2020, 7:00:00 AM","51","","","","","","",""
"2","3/26/2020, 7:00:00 AM","64","","","","","","",""
"3","3/27/2020, 7:00:00 AM","79","","","","","","",""
"3","3/28/2020, 7:00:00 AM","100","","","","","","",""
"5","3/29/2020, 7:00:00 AM","127","","","","","","",""
"6","3/30/2020, 7:00:00 AM","174","","","","","","",""
"8","3/31/2020, 7:00:00 AM","239","","","","","","",""
"11","4/1/2020, 7:00:00 AM","286","","","","","","",""
"12","4/2/2020, 7:00:00 AM","316","","","","","","",""
"15","4/3/2020, 7:00:00 AM","378","","","","","","",""
"18","4/4/2020, 7:00:00 AM","452","","","","","","",""
"20","4/5/2020, 7:00:00 AM","475","","","","","","",""
"21","4/6/2020, 7:00:00 AM","513","","","","","","",""
"","4/7/2020, 7:00:00 AM","573","","","","","","",""
"","4/8/2020, 7:00:00 AM","620","","","","","","",""
"","4/9/2020, 7:00:00 AM","683","","","","","","",""
"","4/10/2020, 7:00:00 AM","725","","","","","","",""
"","4/11/2020, 7:00:00 AM","788","","","","","","",""
"44","4/12/2020, 7:00:00 AM","897","1251","7973","5819","(Datos al 12 de abril de 2020, 7:00 am)","","",""
"45","4/13/2020, 7:00:00 AM","903","1288","8157","5960","","","",""
"45","4/14/2020, 9:10:05 PM","923","1322","8535","6284","
    (Datos al 14 de abril de 2020, 7:00 am)","","",""
"51","4/15/2020, 8:42:11 PM","974","1404","9209","6825","
    (Datos al 15 de abril de 2020, 7:00 am)","","",""
"56","4/16/2020, 9:30:10 AM","1043","1465","9829","7315","
    (Datos al 16 de abril de 2020, 7:00 am)","","",""
"58","4/17/2020, 9:30:10 AM","1068","1472","10410","7864","
    (Datos al 17 de abril de 2020, 7:00 am)","","",""
"60","4/18/2020, 9:30:13 AM","1118","1752","10933","8055"," 
    (Datos al 18 de abril de 2020, 7:00 am)","","",""
"62","4/19/2020, 9:30:11 AM","1213","1830","11332","8280"," 
    (Datos al 19 de abril de 2020, 7:00 am)","","",""
"63","4/20/2020, 9:30:11 AM","1252","1886","11633","8486"," 
    (Datos al 20 de abril de 2020, 7:00 am)","","",""
"dataNotPublished","4/21/2020, 9:30:11 AM","1298","1751","dataNotPublished","8789","Manual para 21 de abril de 2020","","",""
"dataNotPublished","4/22/2020, 9:30:11 AM","1378","1944","dataNotPublished","8842","Manual para 22 de abril de 2020","","",""
"69","4/23/2020, 10:42:42 PM","1416","1940","12174","9313","Manual para 23 de abril de 2020","","",""
"77","4/24/2020, 9:09:09 PM","1276","","","","(Datos al 24 de abril de 2020, 7:00 am)","","",""
"83","4/25/2020, 9:09:09 PM","1307","","","","(Datos al 25 de abril de 2020, 7:00 am)","","",""
"84","4/26/2020, 9:09:09 PM","1371","","","","(Datos al 26 de abril de 2020, 7:00 am)","","",""
"84","4/27/2020, 9:09:09 PM","1389","","","","(Datos al 27 de abril de 2020, 7:00 am)","","",""
"86","4/28/2020, 9:09:09 PM","1400","","","","(Datos al 28 de abril de 2020, 7:00 am)","","",""
"86","4/29/2020, 9:09:09 PM","1433","","","","(Datos al 29 de abril de 2020, 7:00 am)","","",""
"92","4/30/2020, 9:09:09 PM","1539","","","","(Datos al 30 de abril de 2020, 7:00 am)","","",""
"94","5/1/2020, 9:09:09 PM","1575","","","","(Datos al 1 de mayo 2020, 7:00 am)","","",""
"95","5/2/2020, 9:09:09 PM","1757","","","","(Datos al 2 de mayo 2020, 7:00 am)","","",""
"97","5/3/2020, 9:09:09 PM","1808","","","","(Datos al 3 de mayo 2020, 7:00 am)","","",""
"97","5/4/2020, 9:09:09 PM","1843","","","","(Datos al 4 de mayo 2020, 7:00 am)","","",""
"99","5/5/2020, 3:25:37 PM","1924","","",""," 
    (Datos al 5 de mayo de 2020, 6:30 am)","1005","919",""
"99","5/6/2020, 9:30:14 AM","1968","","",""," 
    (Datos al 6 de mayo de 2020, 6:30 am)","1006","962",""
"102","5/7/2020, 9:30:10 AM","2031","","",""," 
    (Datos al 7 de mayo de 2020, 6:30 am)","1013","1018",""
"107","5/8/2020, 9:30:11 AM","2156","","","","
    (Datos al 8 de mayo de 2020, 6:30 am)","1029","1127",""
"108","5/9/2020, 10:44:11 AM","2173","","","","    (Datos al 9 de mayo de 2020, 6:30 am)","1034","1139",""
"111","5/10/2020, 9:30:09 AM","2198","","","","
    (Datos al 10 de mayo de 2020, 6:30 am)","1040","1158",""
"113","5/11/2020, 9:30:11 AM","2256","","","","
    (Datos al 11 de mayo de 2020, 6:30 am)","1054","1202",""
"114","5/12/2020, 9:30:16 AM","2299","","","","
    (Datos al 12 de mayo de 2020, 6:30 am)","1062","1237",""
"115","5/13/2020, 9:30:15 AM","2329","","","","
    (Datos al 13 de mayo de 2020, 6:30 am)","1064","1265",""
"117","5/14/2020, 9:30:15 AM","2427","","","","
    (Datos al 14 de mayo de 2020, 6:30 am)","1073","1354",""
"122","5/15/2020, 9:30:17 AM","2542","","","","
    (Datos al 15 de mayo de 2020, 6:30 am)","1088","1454",""
"122","5/16/2020, 9:30:15 AM","2589","","","","
    (Datos al 16 de mayo de 2020, 6:30 am)","1114","1475",""
"124","5/18/2020, 9:30:15 AM","2710","","","","
    (Datos al 18 de mayo de 2020, 6:30 am)","1195","1515",""
"124","5/19/2020, 2:18:58 PM","2805","","","","
    (Datos al 19 de mayo de 2020, 6:30 am)","1207","1598",""
"125","5/20/2020, 9:30:16 AM","2866","","","","
    (Datos al 20 de mayo de 2020, 6:30 am)","1206","1660",""
"126","5/21/2020, 9:30:13 AM","2913","","","","
    (Datos al 21 de mayo de 2020, 6:30 am)","1213","1700",""
"126","5/22/2020, 9:30:21 AM","3030","","","","
    (Datos al 21 de mayo de 2020, 6:30 am)","1221","1809",""
"126","5/22/2020, 12:30:21 PM","3030","","","","
    (Datos al 21 de mayo de 2020, 6:30 am)","1221","1809",""
"127","5/23/2020, 9:30:16 AM","3100","","","","
    (Datos al 23 de mayo de 2020, 6:30 am)","1230","1870",""
"127","5/24/2020, 9:30:18 AM","3189","","","","
    (Datos al 24 de mayo de 2020, 6:30 am)","1230","1959",""
"129","5/25/2020, 9:30:17 AM","3260","","","","
    (Datos al 25 de mayo de 2020, 6:30 am)","1240","2020",""
"129","5/26/2020, 9:30:17 AM","3324","","","","
    (Datos al 26 de mayo de 2020, 6:30 am)","1241","2083",""
"129","5/27/2020, 9:30:21 AM","3397","","","","
    (Datos al 27 de mayo de 2020, 6:30 am)","1260","2137",""
"131","5/28/2020, 9:30:20 AM","3486","","","","
    (Datos al 28 de mayo de 2020, 6:30 am)","1280","2206",""
"132","5/29/2020, 9:30:21 AM","3647","","","","
    (Datos al 29 de mayo de 2020, 6:30 am)","1293","2354",""
"133","5/30/2020, 9:30:20 AM","3718","","","","
    (Datos al 30 de mayo de 2020, 6:30 am)","1300","2418",""
"136","5/31/2020, 9:30:21 AM","3776","","","","
    (Datos al 31 de mayo de 2020, 6:30 am)","1304","2472",""
"136","6/1/2020, 9:30:21 AM","3873","","","","
    (Datos al 1 de junio de 2020, 6:30 am)","1304","2569",""
"138","6/2/2020, 9:30:19 AM","3935","","",""," 
    (Datos al 2 de junio de 2020, 6:30 am)","1305","2630",""
"140","6/3/2020, 9:30:18 AM","4023","","",""," 
    (Datos al 3 de junio de 2020, 6:30 am)","1313","2710",""
"140","6/4/2020, 9:30:21 AM","4508","","",""," 
    (Datos al 4 de junio de 2020, 6:30 am)","1322","3186",""
"141","6/5/2020, 9:30:21 AM","4620","","",""," 
    (Datos al 5 de junio de 2020, 6:30 am)","1330","3290",""
"142","6/6/2020, 9:30:16 AM","4915","","",""," 
    (Datos al 6 de junio de 2020, 6:30 am)","1360","3555",""
"142","6/7/2020, 9:30:18 AM","4985","","",""," 
    (Datos al 7 de junio de 2020, 6:30 am)","1364","3621",""
"142","6/8/2020, 9:30:21 AM","5046","","",""," 
    (Datos al 8 de junio de 2020, 6:30 am)","1373","3673",""
"142","6/9/2020, 9:30:21 AM","5185","","",""," 
    (Datos al 9 de junio de 2020, 6:30 am)","1386","3799",""
"143","6/10/2020, 9:30:20 AM","5329","","",""," 
    (Datos al 10 de junio de 2020, 6:30 am)","1402","3927",""
"144","6/11/2020, 11:45:19 AM","5352","","",""," 
    (Datos al 11 de junio de 2020, 6:30 am)","1403","3949",""
"146","6/12/2020, 7:00:00 PM","5536","","",""," (Datos al 12 de junio de 2020, 6:30 am)","1443","4093",""
"146","6/13/2020, 7:00:00 PM","5690","","","","(Datos al 13 de junio de 2020, 6:30 am)","1460","4230",""
"147","6/14/2020, 7:01:21 PM","5811","","",""," 
    (Datos al 14 de junio de 2020, 6:30 am)","1471","4340",""
"147","6/15/2020, 9:30:15 AM","5890","","",""," 
    (Datos al 15 de junio de 2020, 6:30 am)","1477","4413",""
"147","6/16/2020, 9:30:15 AM","5951","","",""," 
    (Datos al 16 de junio de 2020, 6:30 am)","1479","4472",""
"147","6/17/2020, 9:30:18 AM","6003","","",""," 
    (Datos al 17 de junio de 2020, 6:30 am)","1486","4517",""
"147","6/18/2020, 9:30:18 AM","6111","","",""," 
    (Datos al 18 de junio de 2020, 6:30 am)","1496","4615",""
"147","6/19/2020, 9:30:24 AM","6195","","",""," 
    (Datos al 19 de junio de 2020, 6:30 am)","1499","4696",""
"147","6/20/2020, 9:30:15 AM","6463","","",""," 
    (Datos al 20 de junio de 2020, 6:30 am)","1531","4932",""
"149","6/21/2020, 9:30:19 AM","6525","","",""," 
    (Datos al 21 de junio de 2020, 6:30 am)","1533","4992",""
"149","6/22/2020, 9:30:17 AM","6564","","",""," 
    (Datos al 22 de junio de 2020, 6:30 am)","1540","5024",""
"149","6/23/2020, 9:30:17 AM","6685","","",""," 
    (Datos al 23 de junio de 2020, 6:30 am)","1550","5135",""
"149","6/24/2020, 9:30:15 AM","6820","","",""," 
    (Datos al 24 de junio de 2020, 6:30 am)","1577","5243",""
"151","6/25/2020, 9:30:19 AM","6877","","",""," 
    (Datos al 25 de junio de 2020, 6:30 am)","1579","5298",""
"151","6/26/2020, 9:30:17 AM","6922","","",""," 
    (Datos al 26 de junio de 2020, 6:30 am)","1583","5339",""
"152","6/27/2020, 9:30:18 AM","7066","","",""," 
    (Datos al 27 de junio de 2020, 6:30 am)","1602","5464",""
"153","6/28/2020, 9:30:16 AM","7189","","",""," 
    (Datos al 28 de junio de 2020, 6:30 am)","1624","5565",""
"153","6/29/2020, 9:30:17 AM","7250","","",""," 
    (Datos al 29 de junio de 2020, 6:30 am)","1638","5612",""
"153","6/30/2020, 9:30:29 AM","7465","","",""," 
    (Datos al 30 de junio de 2020, 6:30 am)","1693","5772",""
"153","7/1/2020, 9:30:21 AM","7537","","",""," 
    (Datos al 1 de julio de 2020, 6:30 am)","1729","5808",""
"153","7/2/2020, 9:30:21 AM","7608","","",""," 
    (Datos al 2 de julio de 2020, 6:30 am)","1767","5841",""
"154","7/3/2020, 9:30:18 AM","7683","","",""," 
    (Datos al 3 de julio de 2020, 6:30 am)","1791","5892",""
"155","7/4/2020, 9:30:19 AM","7687","","",""," 
    (Datos al 4 de julio de 2020, 6:30 am)","1817","5870",""
"155","7/5/2020, 9:30:16 AM","7916","","",""," 
    (Datos al 5 de julio de 2020, 6:30 am)","1846","6070",""
"155","7/6/2020, 9:30:19 AM","8585","","",""," 
    (Datos al 6 de julio de 2020, 6:30 am)","2071","6514",""
"157","7/7/2020, 9:30:16 AM","8714","","",""," 
    (Datos al 7 de julio de 2020, 6:30 am)","2147","6567",""
"159","7/8/2020, 9:30:20 AM","8745","","",""," 
    (Datos al 8 de julio de 2020, 6:30 am)","2171","6574",""
"159","7/9/2020, 9:30:22 AM","8862","","","","    * (Datos al 9 de julio de 2020, 6:30 am)","2235","6627",""
"159","7/10/2020, 12:30:18 PM","9137","","","","     *(Datos al 10 de julio de 2020, 6:30 am)","2351","6786",""
"167","7/11/2020, 12:30:17 PM","9366","","","","     *(Datos al 10 de julio de 2020, 6:30 am)","2435","6931",""
"167","7/12/2020, 12:30:11 PM","9654","","",""," 
    (Datos al 12 de julio de 2020, 6:30 am)","2583","7071",""
"167","7/13/2020, 9:30:15 AM","10010","","","","
    (Datos al 13 de julio de 2020, 6:30 am)","2811","7199",""
"169","7/14/2020, 9:30:18 AM","10123","","","","
    (Datos al 14 de julio de 2020, 6:30 am)","2904","7219",""
"171","7/15/2020, 9:30:16 AM","10379","","","","
    (Datos al 15 de julio de 2020, 6:30 am)","3043","7336",""
"172","7/16/2020, 9:30:18 AM","10574","","","","
    (Datos al 16 de julio de 2020, 6:30 am)","3119","7455",""
"177","7/17/2020, 9:30:18 AM","11120","","","","
    (Datos al 17 de julio de 2020, 6:30 am)","3272","7848",""
"178","7/18/2020, 9:30:17 AM","11453","","","","
    (Datos al 18 de julio de 2020, 6:30 am)","3461","7992",""
"178","7/19/2020, 8:00:21 AM","12063","","","","
    (Datos al 19 de julio de 2020, 6:30 am)","3791","8272",""
"180","7/20/2020, 8:00:16 AM","12461","","","","
    (Datos al 20 de julio de 2020, 6:30 am)","4011","8450",""
"180","7/21/2020, 8:00:19 AM","12940","","","","
    (Datos al 21 de julio de 2020, 6:30 am)","4255","8685",""
"185","7/22/2020, 8:00:17 AM","13038","","","","
    (Datos al 22 de julio de 2020, 6:30 am)","4330","8708",""
"188","7/23/2020, 8:00:17 AM","13473","","","","
    (Datos al 23 de julio de 2020, 6:30 am)","4574","8899",""
"191","7/24/2020, 8:00:22 AM","13967","","","","
    (Datos al 24 de julio de 2020, 6:30 am)","4794","9173",""
"201","7/25/2020, 8:00:17 AM","14540","","","","
    (Datos al 25 de julio de 2020, 6:30 am)","5042","9498",""
"201","7/26/2020, 8:00:15 AM","15143","","","","
    (Datos al 26 de julio de 2020, 6:30 am)","5236","9907",""
"201","7/27/2020, 8:00:14 AM","15431","","","","
    (Datos al 27 de julio de 2020, 6:30 am)","5416","10015",""
"209","7/28/2020, 8:00:22 AM","15840","","","","
    (Datos al 28 de julio de 2020, 6:30 am)","5585","10255",""
"211","7/29/2020, 8:00:19 AM","16061","","","","
    (Datos al 29 de julio de 2020, 6:30 am)","5700","10361",""
"214","7/30/2020, 9:00:13 AM","16572","","","","
    (Datos al 30 de julio de 2020, 6:30 am)","5920","10652",""
"219","7/31/2020, 8:00:21 AM","16781","","","","
    (Datos al 31 de julio de 2020, 6:30 am)","5997","10784",""
"225","8/1/2020, 8:00:23 AM","17872","","","","
    (Datos al 1 de agosto de 2020, 6:30 am)","6543","11329",""
"230","8/2/2020, 8:00:16 AM","18411","","","","
    (Datos al 2 de agosto de 2020, 6:30 am)","6835","11576",""
