"totalPositive","timestamp","deaths","saludTimeSignature","testsInProgress","negativeCases","conductedTests","molecularPositive","serologicalPositive","antigenPositive"
"0","3/12/2020, 7:00:00 AM","0","","","","","","",""
"3","3/13/2020, 7:00:00 AM","0","","","","","","",""
"4","3/14/2020, 7:00:00 AM","0","","","","","","",""
"5","3/15/2020, 7:00:00 AM","0","","","","","","",""
"dataNotPublished","3/16/2020, 7:00:00 AM","0","","","","","","",""
"5","3/17/2020, 7:00:00 AM","0","","","","","","",""
"6","3/18/2020, 7:00:00 AM","0","","","","","","",""
"6","3/19/2020, 7:00:00 AM","0","","","","","","",""
"14","3/20/2020, 7:00:00 AM","0","","","","","","",""
"21","3/21/2020, 7:00:00 AM","1","","","","","","",""
"23","3/22/2020, 7:00:00 AM","1","","","","","","",""
"31","3/23/2020, 7:00:00 AM","2","","","","","","",""
"39","3/24/2020, 7:00:00 AM","2","","","","","","",""
"51","3/25/2020, 7:00:00 AM","2","","","","","","",""
"64","3/26/2020, 7:00:00 AM","2","","","","","","",""
"79","3/27/2020, 7:00:00 AM","3","","","","","","",""
"100","3/28/2020, 7:00:00 AM","3","","","","","","",""
"127","3/29/2020, 7:00:00 AM","5","","","","","","",""
"174","3/30/2020, 7:00:00 AM","6","","","","","","",""
"239","3/31/2020, 7:00:00 AM","8","","","","","","",""
"286","4/1/2020, 7:00:00 AM","11","","","","","","",""
"316","4/2/2020, 7:00:00 AM","12","","","","","","",""
"378","4/3/2020, 7:00:00 AM","15","","","","","","",""
"452","4/4/2020, 7:00:00 AM","18","","","","","","",""
"475","4/5/2020, 7:00:00 AM","20","","","","","","",""
"513","4/6/2020, 7:00:00 AM","21","","","","","","",""
"573","4/7/2020, 7:00:00 AM","","","","","","","",""
"620","4/8/2020, 7:00:00 AM","","","","","","","",""
"683","4/9/2020, 7:00:00 AM","","","","","","","",""
"725","4/10/2020, 7:00:00 AM","","","","","","","",""
"788","4/11/2020, 7:00:00 AM","","","","","","","",""
"897","4/12/2020, 7:00:00 AM","44","(Datos al 12 de abril de 2020, 7:00 am)","1251","5819","7973","","",""
"903","4/13/2020, 7:00:00 AM","45","","1288","5960","8157","","",""
"923","4/14/2020, 9:10:05 PM","45","
    (Datos al 14 de abril de 2020, 7:00 am)","1322","6284","8535","","",""
"974","4/15/2020, 8:42:11 PM","51","
    (Datos al 15 de abril de 2020, 7:00 am)","1404","6825","9209","","",""
"1043","4/16/2020, 9:30:10 AM","56","
    (Datos al 16 de abril de 2020, 7:00 am)","1465","7315","9829","","",""
"1068","4/17/2020, 9:30:10 AM","58","
    (Datos al 17 de abril de 2020, 7:00 am)","1472","7864","10410","","",""
"1118","4/18/2020, 9:30:13 AM","60"," 
    (Datos al 18 de abril de 2020, 7:00 am)","1752","8055","10933","","",""
"1213","4/19/2020, 9:30:11 AM","62"," 
    (Datos al 19 de abril de 2020, 7:00 am)","1830","8280","11332","","",""
"1252","4/20/2020, 9:30:11 AM","63"," 
    (Datos al 20 de abril de 2020, 7:00 am)","1886","8486","11633","","",""
"1298","4/21/2020, 9:30:11 AM","dataNotPublished","Manual para 21 de abril de 2020","1751","8789","dataNotPublished","","",""
"1378","4/22/2020, 9:30:11 AM","dataNotPublished","Manual para 22 de abril de 2020","1944","8842","dataNotPublished","","",""
"1416","4/23/2020, 10:42:42 PM","69","Manual para 23 de abril de 2020","1940","9313","12174","","",""
"1276","4/24/2020, 9:09:09 PM","77","(Datos al 24 de abril de 2020, 7:00 am)","","","","","",""
"1307","4/25/2020, 9:09:09 PM","83","(Datos al 25 de abril de 2020, 7:00 am)","","","","","",""
"1371","4/26/2020, 9:09:09 PM","84","(Datos al 26 de abril de 2020, 7:00 am)","","","","","",""
"1389","4/27/2020, 9:09:09 PM","84","(Datos al 27 de abril de 2020, 7:00 am)","","","","","",""
"1400","4/28/2020, 9:09:09 PM","86","(Datos al 28 de abril de 2020, 7:00 am)","","","","","",""
"1433","4/29/2020, 9:09:09 PM","86","(Datos al 29 de abril de 2020, 7:00 am)","","","","","",""
"1539","4/30/2020, 9:09:09 PM","92","(Datos al 30 de abril de 2020, 7:00 am)","","","","","",""
"1575","5/1/2020, 9:09:09 PM","94","(Datos al 1 de mayo 2020, 7:00 am)","","","","","",""
"1757","5/2/2020, 9:09:09 PM","95","(Datos al 2 de mayo 2020, 7:00 am)","","","","","",""
"1808","5/3/2020, 9:09:09 PM","97","(Datos al 3 de mayo 2020, 7:00 am)","","","","","",""
"1843","5/4/2020, 9:09:09 PM","97","(Datos al 4 de mayo 2020, 7:00 am)","","","","","",""
"1924","5/5/2020, 3:25:37 PM","99"," 
    (Datos al 5 de mayo de 2020, 6:30 am)","","","","1005","919",""
"1968","5/6/2020, 9:30:14 AM","99"," 
    (Datos al 6 de mayo de 2020, 6:30 am)","","","","1006","962",""
"2031","5/7/2020, 9:30:10 AM","102"," 
    (Datos al 7 de mayo de 2020, 6:30 am)","","","","1013","1018",""
"2156","5/8/2020, 9:30:11 AM","107","
    (Datos al 8 de mayo de 2020, 6:30 am)","","","","1029","1127",""
"2173","5/9/2020, 10:44:11 AM","108","    (Datos al 9 de mayo de 2020, 6:30 am)","","","","1034","1139",""
"2198","5/10/2020, 9:30:09 AM","111","
    (Datos al 10 de mayo de 2020, 6:30 am)","","","","1040","1158",""
"2256","5/11/2020, 9:30:11 AM","113","
    (Datos al 11 de mayo de 2020, 6:30 am)","","","","1054","1202",""
"2299","5/12/2020, 9:30:16 AM","114","
    (Datos al 12 de mayo de 2020, 6:30 am)","","","","1062","1237",""
"2329","5/13/2020, 9:30:15 AM","115","
    (Datos al 13 de mayo de 2020, 6:30 am)","","","","1064","1265",""
"2427","5/14/2020, 9:30:15 AM","117","
    (Datos al 14 de mayo de 2020, 6:30 am)","","","","1073","1354",""
"2542","5/15/2020, 9:30:17 AM","122","
    (Datos al 15 de mayo de 2020, 6:30 am)","","","","1088","1454",""
"2589","5/16/2020, 9:30:15 AM","122","
    (Datos al 16 de mayo de 2020, 6:30 am)","","","","1114","1475",""
"2710","5/18/2020, 9:30:15 AM","124","
    (Datos al 18 de mayo de 2020, 6:30 am)","","","","1195","1515",""
"2805","5/19/2020, 2:18:58 PM","124","
    (Datos al 19 de mayo de 2020, 6:30 am)","","","","1207","1598",""
"2866","5/20/2020, 9:30:16 AM","125","
    (Datos al 20 de mayo de 2020, 6:30 am)","","","","1206","1660",""
"2913","5/21/2020, 9:30:13 AM","126","
    (Datos al 21 de mayo de 2020, 6:30 am)","","","","1213","1700",""
"3030","5/22/2020, 9:30:21 AM","126","
    (Datos al 21 de mayo de 2020, 6:30 am)","","","","1221","1809",""
"3030","5/22/2020, 12:30:21 PM","126","
    (Datos al 21 de mayo de 2020, 6:30 am)","","","","1221","1809",""
"3100","5/23/2020, 9:30:16 AM","127","
    (Datos al 23 de mayo de 2020, 6:30 am)","","","","1230","1870",""
"3189","5/24/2020, 9:30:18 AM","127","
    (Datos al 24 de mayo de 2020, 6:30 am)","","","","1230","1959",""
"3260","5/25/2020, 9:30:17 AM","129","
    (Datos al 25 de mayo de 2020, 6:30 am)","","","","1240","2020",""
"3324","5/26/2020, 9:30:17 AM","129","
    (Datos al 26 de mayo de 2020, 6:30 am)","","","","1241","2083",""
"3397","5/27/2020, 9:30:21 AM","129","
    (Datos al 27 de mayo de 2020, 6:30 am)","","","","1260","2137",""
"3486","5/28/2020, 9:30:20 AM","131","
    (Datos al 28 de mayo de 2020, 6:30 am)","","","","1280","2206",""
"3647","5/29/2020, 9:30:21 AM","132","
    (Datos al 29 de mayo de 2020, 6:30 am)","","","","1293","2354",""
"3718","5/30/2020, 9:30:20 AM","133","
    (Datos al 30 de mayo de 2020, 6:30 am)","","","","1300","2418",""
"3776","5/31/2020, 9:30:21 AM","136","
    (Datos al 31 de mayo de 2020, 6:30 am)","","","","1304","2472",""
"3873","6/1/2020, 9:30:21 AM","136","
    (Datos al 1 de junio de 2020, 6:30 am)","","","","1304","2569",""
"3935","6/2/2020, 9:30:19 AM","138"," 
    (Datos al 2 de junio de 2020, 6:30 am)","","","","1305","2630",""
"4023","6/3/2020, 9:30:18 AM","140"," 
    (Datos al 3 de junio de 2020, 6:30 am)","","","","1313","2710",""
"4508","6/4/2020, 9:30:21 AM","140"," 
    (Datos al 4 de junio de 2020, 6:30 am)","","","","1322","3186",""
"4620","6/5/2020, 9:30:21 AM","141"," 
    (Datos al 5 de junio de 2020, 6:30 am)","","","","1330","3290",""
"4915","6/6/2020, 9:30:16 AM","142"," 
    (Datos al 6 de junio de 2020, 6:30 am)","","","","1360","3555",""
"4985","6/7/2020, 9:30:18 AM","142"," 
    (Datos al 7 de junio de 2020, 6:30 am)","","","","1364","3621",""
"5046","6/8/2020, 9:30:21 AM","142"," 
    (Datos al 8 de junio de 2020, 6:30 am)","","","","1373","3673",""
"5185","6/9/2020, 9:30:21 AM","142"," 
    (Datos al 9 de junio de 2020, 6:30 am)","","","","1386","3799",""
"5329","6/10/2020, 9:30:20 AM","143"," 
    (Datos al 10 de junio de 2020, 6:30 am)","","","","1402","3927",""
"5352","6/11/2020, 11:45:19 AM","144"," 
    (Datos al 11 de junio de 2020, 6:30 am)","","","","1403","3949",""
"5536","6/12/2020, 7:00:00 PM","146"," (Datos al 12 de junio de 2020, 6:30 am)","","","","1443","4093",""
"5690","6/13/2020, 7:00:00 PM","146","(Datos al 13 de junio de 2020, 6:30 am)","","","","1460","4230",""
"5811","6/14/2020, 7:01:21 PM","147"," 
    (Datos al 14 de junio de 2020, 6:30 am)","","","","1471","4340",""
"5890","6/15/2020, 9:30:15 AM","147"," 
    (Datos al 15 de junio de 2020, 6:30 am)","","","","1477","4413",""
"5951","6/16/2020, 9:30:15 AM","147"," 
    (Datos al 16 de junio de 2020, 6:30 am)","","","","1479","4472",""
"6003","6/17/2020, 9:30:18 AM","147"," 
    (Datos al 17 de junio de 2020, 6:30 am)","","","","1486","4517",""
